dbi_id,identifier_hash,subject_name,subject_type,proposed_relationship_entity_id,proposed_entity_name,first_year,last_year,return_count,return_types,drake_return_ids,source_contact_ids,source_record_ids,source_contact_count,provenance_form,complete_coverage,expected_esl_inserts,expected_trust_level,expected_confirmation_source,expected_evidence_method,dbi_row_sha256,target_entity_sha256
547,3e0cc378d049b3da24cc0849c71cbb5f7150b2a4f9174b1a31ed4dfca443f2a2,properties by l&k llc,business_entity,35,PROPERTIES BY L&K LLC,2021,2025,5,1065,51|672|1413|2172|3015,7976|9138|10328|11654|12798,2021:672:taxpayer|2022:1413:taxpayer|2023:2172:taxpayer|2024:3015:taxpayer|2025:51:taxpayer,5,details.source_contact_ids,True,5,identifier_verified,machine,drake_entity_provenance,bc4eb979f024c76a3fa465a681340ecf2a58a6150c9664e4a90c92eab99d8c15,3147edff99905771923e9b7a8cb7fa7b7f56d39cd6e035df8c28d96aadc25505
548,3e93632953821ca5a306fa8dc02c6912858a993ab7e3c9fcc60f72ce4a430bfd,lilolu properties llc,business_entity,91,LILOLU PROPERTIES LLC,2022,2025,4,1065,127|1518|2295|3112,9296|10515|11806|12924,2022:1518:taxpayer|2023:2295:taxpayer|2024:3112:taxpayer|2025:127:taxpayer,4,details.source_contact_ids,True,4,identifier_verified,machine,drake_entity_provenance,869073a59f60f7e734d3b5065e254d8ffb379aa29ed38c4d43b054143f1c8932,8b6ce20cf7f077facd87a77a3ecc1f88c965f78aa37707365ae157dc69fdb30b
549,4218ffe124c640ee85fbea79c3f1658b9885aae496a9204f5100cfc9c36fb75b,kaca llc,business_entity,85,KACA LLC,2023,2024,2,1065,2202|3041,10379|11698,2023:2202:taxpayer|2024:3041:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,33f72d74599920d3da824c42ba2fed78057724448913c04a1dba0c95c0884a46,18d5546259aec6e33b9f263b9b3d6575b1191360bbf75223b35200709d63c0d5
554,4a72d77c1d234a9fc776e3e5af194143c9703f75c104c0cb5a80c38361c58956,julia moore pmhnp,business_entity,84,JULIA MOORE PMHNP,2023,2024,2,1120S,2159|3004,10308|11635,2023:2159:taxpayer|2024:3004:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,8d48ac2442a3ec60a525e77e03aceb294dfdf19b3d3a860c54adbed5bc0272eb,0c2126d9a30c66957a3fd5925443e8ffb9fb1f07b4900e7191bc0b90efd0d1b1
556,4fc4aaa4ab733016affedf90b9b921ea73dd6b20e262547740dbb0b095c68712,snowfall publications,business_entity,103,SNOWFALL PUBLICATIONS,2023,2024,2,1120S,2350|3158,10596|11875,2023:2350:taxpayer|2024:3158:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,8ac4c37aa46961cebefe6ad8f84320d289cdafab6e9d0023d831983ef60d6fae,5966abe71f86f68bd797d6a64cf34a4ee7788bb8a48e76ad430b2ecd58cb9542
560,59daf54ab72e81d19494f3b5d370e52de96eb24f316c4a27d807e8530db6d01a,the ark complex,business_entity,19,THE ARK COMPLEX,2024,2025,2,990,159|3159,11876|12973,2024:3159:taxpayer|2025:159:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,032b082a60cd2fcec420e62b3f1c25547e0dda9c36d3d54b8ecaee8221018550,fca2fcab42c7e8cfac08e164a21d1959a7f2ed9517fc0dbdc73021b9e9258228
561,5ca02d585c9c0beaa8c71ba5bf3a1bb879db3a427507e8aa38c7ef4b197a1a55,mightee movers llc,business_entity,97,MIGHTEE MOVERS LLC,2024,2025,2,1120S,495|3555,12498|13504,2024:3555:taxpayer|2025:495:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,0df0b8a57714bb02ee9b04a6999305b45c2e8a4b733e5cb0a7eae359fa0ba7c6,ac85a2e60921e0dcca2c7180ff015d0463f6eda465259a5cdd599d7b29cd547b
564,6b91130c24522eab825201a2aec4449850c798d7cc15b50e159a705f08eb435f,new leaf tree experts,business_entity,71,NEW LEAF TREE EXPERTS,2023,2025,3,1120S,345|2616|3385,11008|12227|13266,2023:2616:taxpayer|2024:3385:taxpayer|2025:345:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,b91960d124e447a2747e9380716fb4064f4a064dbc0c3a619469c46b7c153f7d,42a0b0a888fa19462eb3af4d4b47d40f44fa7f45b63a26c80ac71872faf6ef05
565,6c32d92f5dc5a84d9206a7a616c9943758d9f1fc18b64d652d03e9215096b9ed,salem waterjet llc,business_entity,107,Salem Waterjet LLC,2022,2024,3,1065,2031|2877|3620,10110|11433|12605,2022:2031:taxpayer|2023:2877:taxpayer|2024:3620:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,6d5bb1ccf61e25b9b54e3bfabbbcfddd13f4ce2a39f7eecd0eb9cdbde7fbc29f,3b985baa1b14c97891aa794095e9db0cbef8946d05d5428f78be55fe7daa398e
572,7be08f26672d53f46d50658d4f5a6471783a7cb7cc8d1b048a494d1a3e30db2d,aether premiere construction llc,business_entity,11,AETHER PREMIERE CONSTRUCTION LLC,2021,2022,2,1065,1071|1830,8593|9779,2021:1071:taxpayer|2022:1830:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,63aaffaae7fa7d7a968e98ab9164d15f574b4e01524e155e9a7581b42236e0f9,a70e24ce91d28b4d81469ec4c9e604d188721cc0433aa09ec8fd2ea6c41d3b56
580,8cc3f6060b1bf4fb00b83bcbfc9153f9c5747f2355166e361addeb5374b897a2,mink studios llc,business_entity,98,MINK STUDIOS LLC,2022,2024,3,1065,1787|2594|3366,9713|10974|12195,2022:1787:taxpayer|2023:2594:taxpayer|2024:3366:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,f38794ca15480bad84effb5fe71673a95db7a3a8edf71cd80e53303e75210048,9b3556e3a4fa071ac59fabbfdf6ded682a703c0aec9056e65f69faa973b409cc
581,8f86437a24a7614d4a0b3dec8029e4c6d6632f4e2610152ae45fba1d3a72e01a,madden's market,business_entity,92,MADDEN'S MARKET,2024,2025,2,1120S,502|3563,12511|13515,2024:3563:taxpayer|2025:502:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,4cb6ab7f4e562058811700f51b3970f830196fc7bc9446d14bb437fcfcbbeb17,8a9f9b797d6c7d5480296ff2fd47a3b7f1f039ec85fc591bfc056b91e285b8fe
587,994fef8be6373694bc58b40106c413578c4c47d5d0d86e939ac7bada6da3ea11,yadkin south enterprises llc,business_entity,67,YADKIN SOUTH ENTERPRISES LLC,2022,2023,2,1065,1453|2224,9203|10413,2022:1453:taxpayer|2023:2224:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,165d47c7f4862890aaa4c4b905c69df650b2094abd4fa38e3aeaa0f5289655ea,d890bf2c6986704725a8ee82a97efa7af249aa5bfda553a6cf730b944072f4e7
593,a79e30afc0a5e9727b8f2a23af810632799f8bf405b3ca97a7cf0706fded7ffa,to a t services llc,business_entity,7,TO A T SERVICES LLC,2024,2025,2,1120S,225|3241,12010|13081,2024:3241:taxpayer|2025:225:taxpayer,2,details.source_contact_ids,True,2,identifier_verified,machine,drake_entity_provenance,8e07741250eadcc53206f104199e33d45e63aa95a48087477a4508ea23bf3b19,ecef927ff68db3bccd32768ac11978f870da272c8030786789545a97744c67b4
596,b0031b1b1fa9d7b93778207c8b8a5950e4168743d352b5e7b69d513a9d1ee0b5,optimized leadership coaching & con,business_entity,47,Optimized Leadership Coaching & Con,2023,2025,3,1120S,135|2308|3123,10533|11821|12936,2023:2308:taxpayer|2024:3123:taxpayer|2025:135:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,a54a0bf6c5fcf66fe493724d0d95da793eb7f588be8ea66a17575fb1cb6e25a9,abfd6019755f6639764662e1121a9f381df32a3c842b219f4f936d4394198c69
597,b0ac97627ed84f39ebb3f032a3971fb9c9b89d05f8eca625ba41bbeba561fca0,harmony day support inc,business_entity,144,Harmony Day Support Inc,2021,2023,3,990,770|1510|2287,8125|9285|10504,2021:770:taxpayer|2022:1510:taxpayer|2023:2287:taxpayer,3,details.canonical_repair.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,2efa77b9fccd537ecbe0b24cbf13fe8de0416fa2cd4be5c5d83cc48c15ccb95f,fa303fee97800524486ee629c2dac0d194688fe5675f752be4cc291f407b89b1
604,c2572b82d616294361136c03142bda14d9bbfee1db48633e003a0817ad93aa55,znb ventures llc,business_entity,113,ZNB VENTURES LLC,2023,2025,3,1120S,535|2858|3603,11404|12579|13571,2023:2858:taxpayer|2024:3603:taxpayer|2025:535:taxpayer,3,details.source_contact_ids,True,3,identifier_verified,machine,drake_entity_provenance,e6e0086a1c5b990d4ef7e36f8f64420993d6e3804db5b4485217cab4235f9e26,bf35e3c0093a10dd049b68bc9bd119e86b0bb0b7b6f0147f532e1e53a4895f17
